Name, Momentum, Velocity, Mass, Dist->BH, Active, Black Hole Mass, Date/Time
Orb,10.29563,0,5,0,True,500,2023-Sep-15 @ Time 14:35:12
Orb (3),16.97056,0,5,0,True,500,2023-Sep-15 @ Time 14:35:12
GiantCelestialBody,141.4214,0,50,0,True,500,2023-Sep-15 @ Time 14:35:12
Orb (1),12.80625,0,5,0,True,500,2023-Sep-15 @ Time 14:35:12
Orb (2),15,0,5,0,True,500,2023-Sep-15 @ Time 14:35:12
GiantCelestialBody (1),106.066,0,50,0,True,500,2023-Sep-15 @ Time 14:35:12
GiantCelestialBody (4),131.244,0,50,0,True,500,2023-Sep-15 @ Time 14:35:12
GiantCelestialBody (3),297.3214,0,50,0,True,500,2023-Sep-15 @ Time 14:35:12
GiantCelestialBody (2),335.4102,0,50,0,True,500,2023-Sep-15 @ Time 14:35:12
Orb,22.66311,4.532622,5,29.2387,True,500,2023-Sep-15 @ Time 14:35:20
Orb (3),45.17562,9.035126,5,7.345239,True,500,2023-Sep-15 @ Time 14:35:20
GiantCelestialBody,300.506,6.01012,50,19.53871,True,500,2023-Sep-15 @ Time 14:35:20
Orb (1),17.12331,3.424663,5,13.99717,True,500,2023-Sep-15 @ Time 14:35:20
Orb (2),27.71761,5.543522,5,23.95574,True,500,2023-Sep-15 @ Time 14:35:20
GiantCelestialBody (1),132.187,2.643741,50,64.17904,True,500,2023-Sep-15 @ Time 14:35:20
GiantCelestialBody (4),454.4935,9.08987,50,8.799623,True,500,2023-Sep-15 @ Time 14:35:20
GiantCelestialBody (3),346.7585,6.935171,50,27.96127,True,500,2023-Sep-15 @ Time 14:35:20
GiantCelestialBody (2),537.2418,10.74484,50,19.98163,True,500,2023-Sep-15 @ Time 14:35:20
GiantCelestialBody(Clone)9,246.8255,0,50,0,True,500,2023-Sep-15 @ Time 14:35:21
GiantCelestialBody(Clone)10,38.33816,0,50,0,True,500,2023-Sep-15 @ Time 14:35:21
GiantCelestialBody(Clone)11,192.8391,0,50,0,True,500,2023-Sep-15 @ Time 14:35:21
GiantCelestialBody(Clone)12,257.4597,0,50,0,True,500,2023-Sep-15 @ Time 14:35:22
GiantCelestialBody(Clone)13,65.75701,0,50,0,True,500,2023-Sep-15 @ Time 14:35:22
Orb (1),172.6336,34.52672,5,1.200878,False,505,2023-Sep-15 @ Time 14:35:22
Orb(Clone)14,25.18641,0,5,0,True,505,2023-Sep-15 @ Time 14:35:23
Orb(Clone)15,37.81455,0,5,0,True,505,2023-Sep-15 @ Time 14:35:23
Orb(Clone)16,27.52175,0,5,0,True,505,2023-Sep-15 @ Time 14:35:23
Orb(Clone)16,34.58352,6.916702,5,23.23839,True,505,2023-Sep-15 @ Time 14:35:25
Orb(Clone)15,29.61685,5.92337,5,60.14783,True,505,2023-Sep-15 @ Time 14:35:25
Orb(Clone)14,79.24078,15.84816,5,42.11226,True,505,2023-Sep-15 @ Time 14:35:25
GiantCelestialBody(Clone)13,70.43448,1.408689,50,51.0751,True,505,2023-Sep-15 @ Time 14:35:25
GiantCelestialBody(Clone)12,266.0601,5.321202,50,37.74293,True,505,2023-Sep-15 @ Time 14:35:25
GiantCelestialBody(Clone)11,109.5366,2.190731,50,46.21981,True,505,2023-Sep-15 @ Time 14:35:25
GiantCelestialBody(Clone)10,169.5667,3.391334,50,41.84777,True,505,2023-Sep-15 @ Time 14:35:25
GiantCelestialBody(Clone)9,195.7221,3.914442,50,69.54379,True,505,2023-Sep-15 @ Time 14:35:25
Orb,61.94542,12.38908,5,25.18565,True,505,2023-Sep-15 @ Time 14:35:25
Orb (3),67.89575,13.57915,5,4.738545,True,505,2023-Sep-15 @ Time 14:35:25
GiantCelestialBody,453.5849,9.071698,50,17.73288,True,505,2023-Sep-15 @ Time 14:35:25
Orb (2),54.54472,10.90894,5,8.019858,True,505,2023-Sep-15 @ Time 14:35:25
GiantCelestialBody (1),194.2978,3.885957,50,52.44388,True,505,2023-Sep-15 @ Time 14:35:25
GiantCelestialBody (4),208.9498,4.178996,50,18.60092,True,505,2023-Sep-15 @ Time 14:35:25
GiantCelestialBody (3),342.2177,6.844353,50,37.56969,True,505,2023-Sep-15 @ Time 14:35:25
GiantCelestialBody (2),312.5793,6.251587,50,57.58635,True,505,2023-Sep-15 @ Time 14:35:25
Orb (3),152.7858,30.55717,5,1.466699,False,510,2023-Sep-15 @ Time 14:35:25
GiantCelestialBody (4),1472.7,29.45399,50,1.630469,False,560,2023-Sep-15 @ Time 14:35:27
GiantCelestialBody (2),267.8388,5.356777,50,75.05809,False,560,2023-Sep-15 @ Time 14:35:28
Orb(Clone)15,22.18732,4.437463,5,75.01751,False,560,2023-Sep-15 @ Time 14:35:29
Orb,51.423,10.2846,5,75.12183,False,560,2023-Sep-15 @ Time 14:35:30
Orb(Clone)16,34.28518,6.857037,5,23.1101,True,560,2023-Sep-15 @ Time 14:35:30
Orb(Clone)14,63.5759,12.71518,5,27.5739,True,560,2023-Sep-15 @ Time 14:35:30
GiantCelestialBody(Clone)13,190.8884,3.817769,50,40.47314,True,560,2023-Sep-15 @ Time 14:35:30
GiantCelestialBody(Clone)12,81.16055,1.623211,50,53.41745,True,560,2023-Sep-15 @ Time 14:35:30
GiantCelestialBody(Clone)11,88.21029,1.764206,50,43.87572,True,560,2023-Sep-15 @ Time 14:35:30
GiantCelestialBody(Clone)10,274.1668,5.483337,50,22.85452,True,560,2023-Sep-15 @ Time 14:35:30
GiantCelestialBody(Clone)9,154.0347,3.080693,50,85.22044,True,560,2023-Sep-15 @ Time 14:35:30
GiantCelestialBody,171.2358,3.424716,50,42.62839,True,560,2023-Sep-15 @ Time 14:35:30
Orb (2),24.09519,4.819038,5,20.23652,True,560,2023-Sep-15 @ Time 14:35:30
GiantCelestialBody (1),288.292,5.76584,50,31.7979,True,560,2023-Sep-15 @ Time 14:35:30
GiantCelestialBody (3),260.5091,5.210183,50,56.86613,True,560,2023-Sep-15 @ Time 14:35:30
GiantCelestialBody(Clone)10,1393.817,27.87634,50,1.912896,False,610,2023-Sep-15 @ Time 14:35:32
Orb(Clone)14,56.21143,11.24229,5,75.14478,False,610,2023-Sep-15 @ Time 14:35:34
Orb(Clone)16,23.99977,4.799953,5,34.27401,True,610,2023-Sep-15 @ Time 14:35:35
GiantCelestialBody(Clone)13,191.6645,3.83329,50,25.59488,True,610,2023-Sep-15 @ Time 14:35:35
GiantCelestialBody(Clone)12,11.03835,0.220767,50,56.94796,True,610,2023-Sep-15 @ Time 14:35:35
GiantCelestialBody(Clone)11,464.3694,9.287387,50,20.38133,True,610,2023-Sep-15 @ Time 14:35:35
GiantCelestialBody(Clone)9,119.8867,2.397734,50,97.49574,True,610,2023-Sep-15 @ Time 14:35:35
GiantCelestialBody,83.96207,1.679241,50,54.29205,True,610,2023-Sep-15 @ Time 14:35:35
Orb (2),30.55679,6.111358,5,20.73777,True,610,2023-Sep-15 @ Time 14:35:35
GiantCelestialBody (1),473.3248,9.466496,50,16.01682,True,610,2023-Sep-15 @ Time 14:35:35
GiantCelestialBody (3),218.9065,4.378129,50,74.95805,True,610,2023-Sep-15 @ Time 14:35:35
GiantCelestialBody(Clone)13,1512.069,30.24138,50,1.918805,False,660,2023-Sep-15 @ Time 14:35:38
Orb(Clone)16,17.67365,3.534731,5,43.01185,True,660,2023-Sep-15 @ Time 14:35:40
GiantCelestialBody(Clone)12,101.9921,2.039841,50,52.0212,True,660,2023-Sep-15 @ Time 14:35:40
GiantCelestialBody(Clone)11,278.8109,5.576218,50,20.97226,True,660,2023-Sep-15 @ Time 14:35:40
GiantCelestialBody(Clone)9,87.62559,1.752512,50,106.7679,True,660,2023-Sep-15 @ Time 14:35:40
GiantCelestialBody,41.79523,0.8359047,50,58.02154,True,660,2023-Sep-15 @ Time 14:35:40
Orb (2),49.24343,9.848685,5,10.97846,True,660,2023-Sep-15 @ Time 14:35:40
GiantCelestialBody (1),223.362,4.46724,50,45.69357,True,660,2023-Sep-15 @ Time 14:35:40
GiantCelestialBody (3),197.6925,3.953849,50,91.36649,True,660,2023-Sep-15 @ Time 14:35:40
Orb(Clone)16,15.03021,3.006041,5,46.81258,True,660,2023-Sep-15 @ Time 14:35:45
GiantCelestialBody(Clone)12,249.4093,4.988187,50,35.87022,True,660,2023-Sep-15 @ Time 14:35:45
GiantCelestialBody(Clone)11,103.7525,2.075049,50,32.494,True,660,2023-Sep-15 @ Time 14:35:45
GiantCelestialBody(Clone)9,52.86966,1.057393,50,113.1064,True,660,2023-Sep-15 @ Time 14:35:45
GiantCelestialBody,78.9119,1.578238,50,55.07816,True,660,2023-Sep-15 @ Time 14:35:45
Orb (2),31.12272,6.224544,5,16.73336,True,660,2023-Sep-15 @ Time 14:35:45
GiantCelestialBody (1),130.726,2.614519,50,61.49773,True,660,2023-Sep-15 @ Time 14:35:45
GiantCelestialBody (3),191.7516,3.835032,50,106.7015,True,660,2023-Sep-15 @ Time 14:35:45
GiantCelestialBody (3),193.1265,3.862531,50,110.6501,False,660,2023-Sep-15 @ Time 14:35:46
Orb(Clone)16,15.80555,3.161111,5,45.54631,True,660,2023-Sep-15 @ Time 14:35:50
GiantCelestialBody(Clone)12,544.7341,10.89468,50,11.31651,True,660,2023-Sep-15 @ Time 14:35:50
GiantCelestialBody(Clone)11,251.1398,5.022796,50,24.06156,True,660,2023-Sep-15 @ Time 14:35:50
GiantCelestialBody(Clone)9,29.53465,0.5906931,50,116.7889,True,660,2023-Sep-15 @ Time 14:35:50
GiantCelestialBody,158.7348,3.174697,50,44.82067,True,660,2023-Sep-15 @ Time 14:35:50
Orb (2),72.67176,14.53435,5,15.50413,True,660,2023-Sep-15 @ Time 14:35:50
GiantCelestialBody (1),80.32557,1.606511,50,68.37121,True,660,2023-Sep-15 @ Time 14:35:50
GiantCelestialBody(Clone)11,1487.339,29.74678,50,2.051277,False,710,2023-Sep-15 @ Time 14:35:52
Orb(Clone)16,21.27417,4.254834,5,38.25367,True,710,2023-Sep-15 @ Time 14:35:55
GiantCelestialBody(Clone)12,265.0917,5.301834,50,25.9062,True,710,2023-Sep-15 @ Time 14:35:55
GiantCelestialBody(Clone)9,14.30423,0.2860846,50,118.5008,True,710,2023-Sep-15 @ Time 14:35:55
GiantCelestialBody,373.8012,7.476024,50,22.10554,True,710,2023-Sep-15 @ Time 14:35:55
Orb (2),54.34763,10.86953,5,64.96671,True,710,2023-Sep-15 @ Time 14:35:55
GiantCelestialBody (1),68.70229,1.374046,50,70.09158,True,710,2023-Sep-15 @ Time 14:35:55
Orb (2),53.31078,10.66216,5,75.06004,False,710,2023-Sep-15 @ Time 14:35:56
Orb(Clone)16,34.58018,6.916037,5,22.68402,True,710,2023-Sep-15 @ Time 14:36:00
GiantCelestialBody(Clone)12,169.7835,3.39567,50,33.33878,True,710,2023-Sep-15 @ Time 14:36:00
GiantCelestialBody(Clone)9,17.63208,0.3526416,50,118.2554,True,710,2023-Sep-15 @ Time 14:36:00
GiantCelestialBody,315.5427,6.310853,50,26.7288,True,710,2023-Sep-15 @ Time 14:36:00
GiantCelestialBody (1),88.63531,1.772706,50,67.38931,True,710,2023-Sep-15 @ Time 14:36:00
Orb(Clone)16,45.68292,9.136584,5,15.31245,True,710,2023-Sep-15 @ Time 14:36:05
GiantCelestialBody(Clone)12,233.4156,4.668313,50,28.27713,True,710,2023-Sep-15 @ Time 14:36:05
GiantCelestialBody(Clone)9,34.0102,0.680204,50,116.0945,True,710,2023-Sep-15 @ Time 14:36:05
GiantCelestialBody,158.9106,3.178212,50,47.28991,True,710,2023-Sep-15 @ Time 14:36:05
GiantCelestialBody (1),134.0434,2.680867,50,59.86391,True,710,2023-Sep-15 @ Time 14:36:05
Orb(Clone)16,22.01745,4.40349,5,33.52177,True,710,2023-Sep-15 @ Time 14:36:10
GiantCelestialBody(Clone)12,529.5071,10.59014,50,11.5193,True,710,2023-Sep-15 @ Time 14:36:10
GiantCelestialBody(Clone)9,53.06047,1.061209,50,111.9765,True,710,2023-Sep-15 @ Time 14:36:10
GiantCelestialBody,86.63084,1.732617,50,57.56034,True,710,2023-Sep-15 @ Time 14:36:10
GiantCelestialBody (1),210.9481,4.218961,50,45.97059,True,710,2023-Sep-15 @ Time 14:36:10
Orb(Clone)16,14.75189,2.950378,5,40.7139,True,710,2023-Sep-15 @ Time 14:36:15
GiantCelestialBody(Clone)12,292.2225,5.844451,50,23.45304,True,710,2023-Sep-15 @ Time 14:36:15
GiantCelestialBody(Clone)9,75.10315,1.502063,50,105.7793,True,710,2023-Sep-15 @ Time 14:36:15
GiantCelestialBody,55.70218,1.114044,50,60.79202,True,710,2023-Sep-15 @ Time 14:36:15
GiantCelestialBody (1),389.1615,7.783231,50,22.63472,True,710,2023-Sep-15 @ Time 14:36:15
Orb(Clone)16,71.63734,14.32747,5,30.17841,True,710,2023-Sep-15 @ Time 14:36:20
GiantCelestialBody(Clone)12,145.869,2.91738,50,31.84534,True,710,2023-Sep-15 @ Time 14:36:20
GiantCelestialBody(Clone)9,101.8257,2.036514,50,97.10506,True,710,2023-Sep-15 @ Time 14:36:20
GiantCelestialBody,88.75481,1.775096,50,57.65051,True,710,2023-Sep-15 @ Time 14:36:20
GiantCelestialBody (1),397.031,7.94062,50,21.29366,True,710,2023-Sep-15 @ Time 14:36:20
Orb(Clone)16,51.1659,10.23318,5,50.82782,True,710,2023-Sep-15 @ Time 14:36:25
GiantCelestialBody(Clone)12,235.6676,4.713352,50,25.94648,True,710,2023-Sep-15 @ Time 14:36:25
GiantCelestialBody(Clone)9,133.4161,2.668322,50,85.52745,True,710,2023-Sep-15 @ Time 14:36:25
GiantCelestialBody,159.9679,3.199359,50,47.58599,True,710,2023-Sep-15 @ Time 14:36:25
GiantCelestialBody (1),215.3034,4.306068,50,44.28388,True,710,2023-Sep-15 @ Time 14:36:25
Orb(Clone)16,47.71547,9.543094,5,75.16064,False,710,2023-Sep-15 @ Time 14:36:28
GiantCelestialBody(Clone)12,614.8254,12.29651,50,9.083052,True,710,2023-Sep-15 @ Time 14:36:30
GiantCelestialBody(Clone)9,175.4719,3.509439,50,70.35166,True,710,2023-Sep-15 @ Time 14:36:30
GiantCelestialBody,315.1599,6.303199,50,27.51589,True,710,2023-Sep-15 @ Time 14:36:30
GiantCelestialBody (1),143.48,2.8696,50,58.09771,True,710,2023-Sep-15 @ Time 14:36:30
GiantCelestialBody(Clone)12,154.6948,3.093896,50,28.34504,True,710,2023-Sep-15 @ Time 14:36:35
GiantCelestialBody(Clone)9,255.8869,5.117739,50,49.4496,True,710,2023-Sep-15 @ Time 14:36:35
GiantCelestialBody,424.302,8.486039,50,19.72886,True,710,2023-Sep-15 @ Time 14:36:35
GiantCelestialBody (1),101.7291,2.034583,50,66.07748,True,710,2023-Sep-15 @ Time 14:36:35
GiantCelestialBody(Clone)12,218.5566,4.371132,50,24.80383,True,710,2023-Sep-15 @ Time 14:36:40
GiantCelestialBody(Clone)9,552.4866,11.04973,50,14.23459,True,710,2023-Sep-15 @ Time 14:36:40
GiantCelestialBody,218.235,4.3647,50,45.87286,True,710,2023-Sep-15 @ Time 14:36:40
GiantCelestialBody (1),82.34071,1.646814,50,69.27944,True,710,2023-Sep-15 @ Time 14:36:40
